BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,PLATFORM,RI,MASS,PUBCHEM,KEGG,HMDB,Cat 1_vial 1,Cat 2_vial 1,cat 3_vial 1,cat 4_vial 1,cat 5_vial 1,cat 6_vial 1,cat 7_vial 1,cat 8_vial 1,cat 1_vial 2,cat 2_vial 2,cat 3_vial 2,cat 4_vial 2,cat 5_vial 2,cat 6_vial 2,cat 7_vial 2,cat 8_vial 2,cat 1_vial 3,cat 2_vial 3,cat 3_vial 3,cat 4_vial 3,cat 5_vial 3,cat 6_vial 3,cat 7_vial 3,cat 8_vial 3
1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,Lysoplasmalogen,LC/MS Pos Late,1566,464.3136,,,,"1,400,073","827,766","1,488,715","1,054,591","3,117,646","1,073,890","800,422","2,249,110","1,560,713","876,359","1,776,703","2,225,251","2,665,163","1,275,333","896,532","2,265,224","1,978,188","897,739","1,534,376","1,700,130","1,925,733","1,413,132","626,505","2,294,264"
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Lipid,Plasmalogen,LC/MS Pos Late,2154,766.57452,,,HMDB11220,"10,831,819","15,251,205","14,606,850","17,050,280","10,607,851","6,064,933","10,463,192","12,248,182","11,135,244","14,753,800","15,254,217","18,013,516","10,804,451","6,460,811","10,858,841","11,474,390","12,721,466","14,896,449","14,888,594","18,051,126","10,625,573","6,873,530","9,863,106","11,083,186"
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen,LC/MS Pos Late,2270,724.52757,,,HMDB11352,"3,304,972","3,698,021","4,284,660","4,664,637","3,673,016","2,452,252","2,857,007","3,586,139","3,070,601","3,584,202","4,370,367","4,328,337","3,656,139","2,515,827","2,455,419","3,600,938","3,520,028","3,846,576","4,688,259","4,544,943","3,226,886","2,514,327","2,385,365","3,731,253"
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Lipid,Plasmalogen,LC/MS Pos Late,2226,742.57452,,,HMDB11211,"27,171,036","44,479,276","48,195,416","39,435,900","26,712,720","16,145,944","35,124,864","28,502,288","28,520,228","45,523,708","52,483,108","42,135,360","25,898,146","17,208,360","31,661,702","28,198,756","32,797,348","44,387,728","52,331,500","41,303,484","25,126,428","18,053,308","31,122,182","27,330,440"
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Lipid,Plasmalogen,LC/MS Pos Late,2351,700.52757,,,HMDB11343,,"545,036","1,031,845","624,860",,"595,162",,"332,157",,"573,578","938,105","776,501","609,396","489,288",,,"473,805","505,534","826,328","785,598",,"630,314",,"401,173"
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Lipid,Plasmalogen,LC/MS Pos Late,2443,744.59017,,,,"60,362,832","71,235,680","69,245,248","62,473,096","50,581,356","28,301,180","45,876,896","45,648,944","60,251,396","74,521,904","67,511,304","63,271,888","51,326,668","30,829,398","46,870,940","45,297,064","63,877,240","73,123,976","70,159,024","64,305,048","48,303,076","30,791,876","42,198,628","45,585,136"
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Lipid,Plasmalogen,LC/MS Pos Late,2600,702.54322,,,HMDB11342,"4,479,255","5,416,781","5,536,993","5,812,528","4,733,898","4,662,574","3,433,510","3,852,397","4,931,466","5,090,554","6,077,589","6,002,120","4,513,402","4,980,173","3,190,328","3,700,895","4,931,912","4,998,268","6,106,099","5,666,803","5,168,730","5,652,851","3,213,795","3,775,341"
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,Lipid,Plasmalogen,LC/MS Pos Late,2218,716.55887,,,HMDB11207,"512,382","801,909","750,478","776,234","571,306","409,676","595,957","534,464","625,918","842,101","841,182","809,703","566,861","503,001","644,835","470,087","524,486","845,850","767,741","850,212","669,409","379,708","481,297","567,827"
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,Lipid,Plasmalogen,LC/MS Pos Late,2454,718.57452,11146967,,HMDB11206,"5,236,605","6,971,158","7,046,281","6,579,671","5,052,291","3,457,355","6,015,372","5,265,533","5,056,801","7,477,526","6,279,076","6,706,390","4,590,511","3,578,321","6,073,601","5,057,156","5,299,411","7,016,940","6,847,703","6,559,866","5,021,337","3,825,633","5,730,757","5,173,020"
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Lipid,Lysoplasmalogen,LC/MS Pos Late,1547,480.34485,10917802,,HMDB10407,"8,744,183","16,474,939","16,995,396","11,256,074","7,617,655","4,686,782","8,626,813","8,577,372","8,991,877","16,060,602","18,837,226","14,946,439","8,080,601","5,823,521","9,120,472","8,796,211","10,846,349","15,617,532","16,984,768","12,879,651","7,674,918","6,592,848","6,195,314","10,551,167"
