"","BIOCHEMICAL","SUPER.PATHWAY","SUB.PATHWAY","COMP.ID","PLATFORM","CHEMICAL.ID","RI","MASS","CAS","PUBCHEM","KEGG","HMDB"
"met1","1-(1-enyl-oleoyl)-GPE (P-18:1)*","Lipid","Lysoplasmalogen",44621,"LC/MS Pos Late",100005372,1566,464.3136,"",NA,"","HMDB11220"
"met2","1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*","Lipid","Plasmalogen",52689,"LC/MS Pos Late",100009014,2154,766.57452,"",NA,"","HMDB11352"
"met3","1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*","Lipid","Plasmalogen",52673,"LC/MS Pos Late",100009002,2270,724.52757,"",NA,"","HMDB11211"
"met4","1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*","Lipid","Plasmalogen",52682,"LC/MS Pos Late",100009009,2226,742.57452,"",NA,"","HMDB11343"
"met5","1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","Lipid","Plasmalogen",52677,"LC/MS Pos Late",100009069,2351,700.52757,"",NA,"",""
"met6","1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*","Lipid","Plasmalogen",52478,"LC/MS Pos Late",100009007,2443,744.59017,"",NA,"","HMDB11342"
"met7","1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*","Lipid","Plasmalogen",52477,"LC/MS Pos Late",100009005,2600,702.54322,"",NA,"","HMDB11207"
"met8","1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*","Lipid","Plasmalogen",52713,"LC/MS Pos Late",100009160,2218,716.55887,"",NA,"","HMDB11206"
"met9","1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*","Lipid","Plasmalogen",52716,"LC/MS Pos Late",100009162,2454,718.57452,"",11146967,"","HMDB10407"
"met10","1-(1-enyl-palmitoyl)-GPC (P-16:0)*","Lipid","Lysoplasmalogen",52474,"LC/MS Pos Late",100002875,1547,480.34485,"",10917802,"",""
"met11","1-(1-enyl-palmitoyl)-GPE (P-16:0)*","Lipid","Lysoplasmalogen",39270,"LC/MS Pos Late",100003000,1558,438.2979,"",NA,"","HMDB05779"
"met12","1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*","Lipid","Plasmalogen",52475,"LC/MS Pos Late",100008999,2511,752.55887,"",9547058,"","HMDB11376"
"met13","1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*","Lipid","Plasmalogen",52748,"LC/MS Pos Late",100009225,2633,728.55887,"",NA,"","HMDB11375"
"met14","1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)","Lipid","Plasmalogen",52614,"LC/MS Pos Late",100008919,2950,730.57452,"144371-68-6",NA,"",""
"met15","1-(1-enyl-stearoyl)-GPE (P-18:0)*","Lipid","Lysoplasmalogen",39271,"LC/MS Pos Late",100003001,1649,466.3292,"",NA,"",""
"met16","1,2,3-benzenetriol sulfate (2)","Xenobiotics","Chemical",48762,"LC/MS Neg",100006374,1709,204.98123,"",NA,"","HMDB08138"
"met17","1,2-dilinoleoyl-GPC (18:2/18:2)","Lipid","Phosphatidylcholine (PC)",52603,"LC/MS Pos Late",100008903,2006,782.56944,"998-06-1",5288075,"","HMDB09093"
"met18","1,2-dilinoleoyl-GPE (18:2/18:2)*","Lipid","Phosphatidylethanolamine (PE)",53174,"LC/MS Pos Late",100009217,2083,740.52248,"",9546812,"",""
"met19","1,2-dioleoyl-GPC (18:1/18:1)","Lipid","Phosphatidylcholine (PC)",52457,"LC/MS Pos Late",100008905,2346,786.60074,"4235-95-4",10350317,"",""
