"","cat.1_vial.1","cat.2_vial.1","cat.3_vial.1","cat.4_vial.1","cat.5_vial.1","cat.6_vial.1","cat.7_vial.1","cat.8_vial.1","cat.1_vial.2","cat.2_vial.2","cat.3_vial.2","cat.4_vial.2","cat.5_vial.2","cat.6_vial.2","cat.7_vial.2","cat.8_vial.2","cat.1_vial.3","cat.2_vial.3","cat.3_vial.3","cat.4_vial.3","cat.5_vial.3","cat.6_vial.3","cat.7_vial.3","cat.8_vial.3"
"met1",0.9954,0.5885,1.0584,0.7497,2.2164,0.7635,0.5691,1.599,1.1096,0.623,1.2631,1.582,1.8948,0.9067,0.6374,1.6104,1.4064,0.6382,1.0908,1.2087,1.3691,1.0046,0.4454,1.6311
"met2",0.9582,1.3491,1.2921,1.5082,0.9384,0.5365,0.9256,1.0835,0.985,1.3051,1.3494,1.5934,0.9557,0.5715,0.9606,1.015,1.1253,1.3177,1.317,1.5968,0.9399,0.608,0.8725,0.9804
"met3",0.9685,1.0837,1.2556,1.3669,1.0763,0.7186,0.8372,1.0509,0.8998,1.0503,1.2807,1.2684,1.0714,0.7372,0.7195,1.0552,1.0315,1.1272,1.3739,1.3319,0.9456,0.7368,0.699,1.0934
"met4",0.9584,1.5689,1.7,1.391,0.9422,0.5695,1.239,1.0054,1.006,1.6057,1.8512,1.4862,0.9135,0.607,1.1168,0.9947,1.1569,1.5657,1.8459,1.4569,0.8863,0.6368,1.0978,0.964
"met5",0.5382,0.8832,1.672,1.0125,0.5382,0.9644,0.5382,0.5382,0.5382,0.9294,1.5201,1.2583,0.9875,0.7929,0.5382,0.5382,0.7678,0.8192,1.339,1.273,0.5382,1.0214,0.5382,0.6501
"met6",1.2209,1.4408,1.4005,1.2636,1.023,0.5724,0.9279,0.9233,1.2186,1.5073,1.3655,1.2797,1.0381,0.6235,0.948,0.9162,1.292,1.479,1.419,1.3006,0.977,0.6228,0.8535,0.922
"met7",0.9534,1.1529,1.1785,1.2372,1.0076,0.9924,0.7308,0.82,1.0496,1.0835,1.2936,1.2775,0.9607,1.06,0.6791,0.7877,1.0497,1.0639,1.2997,1.2062,1.1001,1.2032,0.684,0.8036
"met8",0.8969,1.4036,1.3136,1.3587,1,0.7171,1.0432,0.9355,1.0956,1.474,1.4724,1.4173,0.9922,0.8804,1.1287,0.8228,0.9181,1.4806,1.3438,1.4882,1.1717,0.6646,0.8425,0.9939
"met9",0.9913,1.3197,1.3339,1.2456,0.9564,0.6545,1.1387,0.9968,0.9573,1.4155,1.1887,1.2696,0.869,0.6774,1.1498,0.9574,1.0032,1.3283,1.2963,1.2418,0.9506,0.7242,1.0849,0.9793
"met10",1.0068,1.8968,1.9568,1.296,0.8771,0.5396,0.9932,0.9876,1.0353,1.8491,2.1688,1.7209,0.9304,0.6705,1.0501,1.0128,1.2488,1.7981,1.9555,1.4829,0.8837,0.7591,0.7133,1.2148
"met11",0.9273,0.9584,1.3895,1.0727,1.2495,0.6902,0.7039,1.3101,1.041,1.0349,1.7609,1.6252,1.2906,0.922,0.7748,1.3483,1.1867,0.9814,1.3694,1.2144,1.0186,0.9797,0.5643,1.4905
"met12",0.8565,1.0013,1.2266,1.2473,1.199,0.6272,0.8621,1.0113,0.891,0.999,1.2805,1.3725,1.2556,0.7122,0.7484,0.8904,1.0942,1.0457,1.3821,1.3131,1.0638,0.781,0.689,0.9587
"met13",0.7371,1.1069,1.1941,1.2871,1.2756,0.9248,0.9825,0.7546,0.7712,1.0175,1.3122,1.3685,1.214,0.9703,0.8281,0.7138,0.9086,1.0701,1.3075,1.3393,1.2179,1.0557,0.786,0.7237
"met14",0.8358,1.018,1.1962,1.3985,1.2619,0.9059,1.0218,0.7098,0.8929,1.0262,1.2616,1.4796,1.2657,0.9977,0.8909,0.6515,1.0023,1.0643,1.2589,1.2925,1.2336,1.0967,0.8321,0.6415
"met15",0.9689,0.9064,1.3417,0.9515,1.3852,0.7861,0.772,1.3502,1.074,0.9275,1.4989,1.3995,1.3408,0.9223,0.7781,1.2294,1.2804,0.9475,1.3391,1.2164,1.0908,1.0311,0.6035,1.4332
"met16",1.0167,1.0109,1,1.0441,1.0657,0.7255,1.3599,0.8279,1.143,0.7551,1.0591,1.1574,0.9368,0.6981,1.2556,0.7397,1.0266,0.9157,1.0567,0.9353,0.7828,0.7154,1.244,0.8856
"met17",0.8917,1.2354,1.1438,1.0836,1.0923,0.879,0.793,1.0017,0.9193,1.1927,1.1973,1.1287,1.1018,0.921,0.7285,0.9755,1.1171,1.2133,1.2349,1.1038,1.0044,0.9983,0.7026,0.9962
"met18",1.0269,1.1687,0.7862,1.099,1.701,0.9771,0.7326,0.8578,0.8994,1.1924,0.7797,1.0786,1.4005,1.1364,0.7683,0.8867,1.0809,1.0111,0.8613,1.1082,1.3624,1,0.6256,0.7237
"met19",0.9228,1.5537,0.9559,0.8444,1.6097,1.5994,0.7076,0.7432,0.8973,1.3072,1.5206,0.9504,1.0107,0.8458,0.7274,0.9893,1.0256,1.1362,1.3901,1.6377,1.104,1.1796,1.0557,0.9447
"met20",1.0344,1.1764,1.3359,1.0099,1.637,0.7411,0.5585,0.9901,1.2122,1.3049,1.0598,1.2071,1.9077,0.8949,0.3448,0.8802,1.3055,1.4663,0.8555,1.1904,2.3549,1.047,0.5144,0.7542
"met21",1.0145,1.9,1.2768,1.1516,1.2997,0.7456,0.9651,0.9856,1.4039,2.0375,2.0088,1.3778,1.1795,0.8901,0.6219,0.978,1.5602,0.454,1.3211,1.3915,1.8688,1.2224,0.6499,0.8534
"met22",0.9124,1.0005,1.07,1.0559,1.0571,0.6585,0.7888,0.9676,0.9661,1.0683,1.122,1.1488,1.1082,0.7497,0.7686,0.9229,1.0355,1.0015,1.0802,1.0874,1.0219,0.7332,0.7416,0.9061
"met23",2.0437,1.1318,0.6382,0.436,0.8653,0.9814,1.1058,0.8905,1.7487,1,0.58,0.5937,1.163,1.3357,1.7372,0.8894,1.4919,0.9353,1.028,0.436,0.7863,0.9827,1.5198,1.3251
"met24",1.6536,0.6026,0.9784,0.5879,0.6427,0.6658,0.9714,1.7431,1.8402,0.9389,0.5791,0.7888,0.6185,1.321,1.2576,1.4755,1.5255,0.6361,0.7799,0.4864,0.4662,0.7245,1.0217,1.5533
"met25",1.008,0.6565,0.7542,0.6282,0.5063,0.9556,1.616,1.1905,1.7122,0.745,0.6719,0.8432,0.4193,1.0592,1.4684,0.981,1.0478,0.7127,0.6375,0.7051,0.4427,0.992,1.7115,1.1138
"met26",1.3045,0.6413,1.2774,0.8041,0.4185,0.8058,1.1894,0.9562,1.5434,0.8878,1.7836,1.0001,1.0718,1.0396,0.9999,1.1488,0.9393,0.4185,0.9539,0.4185,0.4185,0.5093,0.5721,1.3731
